5.600,DB,track,DB,end=13.000,render_pos=200,direction=down,label=Down Bankstown
5.600,UB,track,UB,end=13.000,render_pos=300,direction=up,label=Up Bankstown
5.615,XC1,track,XC1,end=5.650,render_pos=100,direction=up,label=XPT Centre Road 1
5.615,DB,points,P742,b_end=5.630,b_track=XC1
5.639,UB,signal,SM 620 B,absolute,low_speed,subsidiary
5.639,XC1,signal,SM 618,shunt,ground,shunt_route_ind=1|2
5.643,DB,signal,SM 675 B,absolute,turnout,subsidiary,shunt_route_ind=G|B
5.750,UG,track,UG,end=5.800,render_pos=100,direction=up,label=Up Goods
5.700,DB,points,P760,b_end=5.779,b_track=UG
5.773,UB,signal,SM 678 B,absolute,subsidiary
5.779,UG,signal,SM 676 G,absolute,upper_lamps=YR,lower_lamps=YR,subsidiary
5.928,DB,signal,SM 155 B
6.040,DB,speed,S6.040D,gen=70,mu=70
6.040,UB,speed,S6.040U,gen=40
6.137,UB,signal,SM 680 B
6.297,DB,signal,SM 157 B
6.486,UB,signal,SM 158 B
6.495,DB,platform,Marrickville P2,end=6.650,left
6.495,UB,platform,Marrickville P1,end=6.650,left
6.600,DG,track,DG,end=12.500,render_pos=400,direction=down,label=Down Goods
6.600,UG,track,UG,end=12.500,render_pos=500,direction=up,label=Up Goods
6.641,DG,signal,SM 716 G,facing=up,ground,shunt,triangular,shunt_route_ind=DG|DB
6.652,DB,signal,SM 159 B
6.690,UG,signal,SM 718 G,absolute,turnout,route_ind=UB|DB,shunt_route_ind=UB|DB|UG,subsidiary
6.824,UB,signal,SM 160 B
6.964,DG,signal,SM 165 G
6.964,DB,signal,SM 163 B
7.208,UB,signal,SM 720 G,absolute
7.208,UB,signal,SM 166 B
7.357,DB,signal,SM 101 B,absolute
7.357,DB,signal,SM 167 B
7.540,UB,speed,S7.540,gen=70
7.676,DB,signal,SM 169 B
7.750,DB,speed,S7.750,gen=60
7.783,UB,signal,SM 170 B
7.785,DB,platform,Dulwich Hill P2,end=7.955,right
7.785,UB,platform,Dulwich Hill P1,end=7.955,right
7.815,DG,speed,genX=25
7.818,DG,signal,SM 103 G,absolute,turnout,closeup
7.950,UEF,track,UEF,end=8.000
7.950,DEF,track,DEF,end=8.000
7.820,UG,points,P140,b_end=7.950,b_track=UEF
7.820,DG,points,P141,b_end=7.950,b_track=DEF
7.947,UEF,signal,SM 112 EF,absolute
7.947,UG,signal,SM 110 G,absolute,lower_lamps=G_R
7.959,DB,signal,SM 171 IND,ground,coact=SM 171 B
7.960,DB,signal,SM 171 B,note=Coact needed due to poor visibility from 8 car stop
8.103,UB,signal,SM 172 B
8.207,DB,signal,SM 173 B
8.230,DG,signal,SM 109 G,absolute
8.392,UG,signal,SM 104 G,absolute,turnout,closeup
8.402,UB,signal,SM 174 B
8.594,DB,signal,SM 175 B
8.621,DG,signal,SM 115 G,absolute,subsidiary
8.715,UB,signal,176 REPEATER,ground,coact=SM 176 B
8.721,UB,signal,SM 176 B,note=Coact needed due to poor visibility from 8 car stop
8.721,DB,platform,Hurlstone Park P2,end=8.895,left
8.721,UB,platform,Hurlstone Park P1,end=8.895,left
8.762,UG,signal,SM 102 G,absolute
8.899,DB,signal,SM 177 B
9.001,UB,signal,SM 180 B
9.233,UB,signal,SM 182 B
9.403,DB,signal,SM 185 B
9.591,UB,signal,SM 188 B
9.814,DB,signal,SM 191 B
10.020,UB,speed,S10.020,gen=60
10.087,UB,signal,SM 194 INDR,ground,coact=SM 194 B
10.088,UB,signal,SM 194 B,note=Coact needed due to poor visibility from 8 car stop
10.088,DB,platform,Canterbury P2,end=10.262,left
10.088,UB,platform,Canterbury P1,end=10.262,left
10.266,DB,signal,SM 197 B
10.360,DB,speed,S10.360,gen=65
10.643,UB,signal,SM 200 B
10.682,DB,signal,SM 201 B
11.061,UB,signal,SM 204 B
11.067,DG,signal,SM 203 G,absolute,turnout,shunt_route_ind=UB|DG,subsidiary
11.116,UG,signal,207,shunt,ground,shunt_route_ind=UB|DG,facing=down
11.170,UG,points,P261,b_end=11.258,b_track=DG
11.240,DB,signal,SM 205 B,absolute,shunt_route_ind=DB|UB,subsidiary,turnout
11.270,DG,points,P261,b_end=11.358,b_track=UB
11.340,DB,speed,S11.340,genX=50,muX=50,xAppliesTo=P262
11.380,DB,points,P262,b_end=11.468,b_track=UB
11.420,UB,speed,S11.420,genX=50,xAppliesTo=P261
11.601,UB,signal,SM 210 IND,ground,subsidiary,route_ind=B|G,coact=SM 210 B
11.605,DB,platform,Campsie P2,end=11.790,left
11.605,UB,platform,Campsie P1,end=11.790,left
11.605,DG,platform,Campsie Goods P2,end=11.690,left
11.608,UB,signal,SM 210 B,absolute,turnout,subsidiary,shunt_route_ind=UB|UG,note=Coact needed due to poor visibility from 8 car stop
11.625,UG,signal,SM 208 G,absolute,subsidiary
11.625,UG,platform,Campsie Goods P1,end=11.710,left
11.792,DB,signal,SM 211 B,absolute,subsidiary
11.796,UB,signal,SM 213 B,absolute,subsidiary,lower_lamps=YR,position=right,facing=down
12.115,DG,signal,SM 215 G,absolute,subsidiary
12.116,UB,signal,SM 217 G,absolute,upper_lamps=YR,lower_lamps=YR,route_ind= ,shunt_route_ind=DB|DG,subsidiary,facing=down
12.130,UB,speed,S12.130,genX=25,xAppliesTo=P263,facing=down
12.235,DB,signal,SM 219 B,absolute,subsidiary
12.270,UB,speed,S12.270,genX=50,xAppliesTo=P264,facing=down
12.338,UB,signal,SM 216 B,absolute,subsidiary
